,comp_no_empl,tech_comp_flag,mh_coverage_flag,mh_coverage_awareness_flag,mh_employer_discussion,mh_resources_provided,mh_anonimity_flag,mh_medical_leave,mh_discussion_neg_impact,ph_discussion_neg_impact,mh_discussion_cowork,mh_discussion_supervis,mh_eq_ph_employer,mh_conseq_coworkers,prev_employers_flag,prev_mh_benefits,prev_mh_benefits_awareness,prev_mh_discussion,prev_mh_resources,prev_mh_anonimity,prev_mh_discuss_neg_conseq,prev_ph_discuss_neg_conseq,prev_mh_discussion_cowork,prev_mh_discussion_supervisor,prev_mh_importance_employer,prev_mh_conseq_coworkers,future_ph_specification,why/why_not,future_mh_specification,why/why_not2,mh_hurt_on_career,mh_neg_view_cowork,mh_sharing_friends/fam_flag,mh_bad_response_workplace,mh_family_hist,mh_disorder_past,mh_disorder_current,mh_diagnos_proffesional,mh_sought_proffes_treatm,mh_eff_treat_impact_on_work,mh_not_eff_treat_impact_on_work,age,sex,work_position,remote_flag
1363,100-500,1.0,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No,No,No,No,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,I would only bring up the physical health issue if it would have an effect on my performance at work. ,No,There is a stigma surrounding mental health that you are unstable as an employee if you have mental health issues.,Maybe,"No, I don't think they would",Somewhat open,No,Yes,No,Yes,No,0,Sometimes,Often,22,Male,Back-end Developer|Front-end Developer,Sometimes
1364,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,I probably wouldn't get the job if I mentioned my physical issues.,No,"I lost a job because of my mental health issues, it would look bad.","Yes, I think it would","Yes, I think they would",Neutral,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Often,24,Female,Designer,Sometimes
1365,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),Some did,Some did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",Some did,None of them,Yes,"If my physical health affects productivity or accessibility, it will be important to discuss this with potential employer.",No,"I feel that mental health issues are still viewed as ""taboo"" and most employers / interviews may not be able to respond to these issues. Talking about it will simply make the interview awkward - and negatively affect my chance to get the job.","Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",No,Yes,Yes,No,1,Not applicable to me,Often,29,Female,Front-end Developer,Always
1366,More than 1000,0.0,Yes,Yes,No,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,Yes,No,1,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,I consider this private and protected information that should only be given if absolutely needed. I want to be able to control if and when the employer is able to use this information.,No,"This would never help me get a job, and it could only be used against me negatively.","Yes, it has","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,30,Male,DevOps/SysAdmin,Sometimes
1367,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"Yes, they all did","No, I only became aware later",None did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,"The concept is tangible, unavoidable, and not something really hidden. ",Maybe,"If the employer had a clear, positive stance on the issue, it would be reasonable to talk about. Otherwise it may be perceived negatively because of its intangible, invisible nature. ",Maybe,Maybe,Somewhat open,No,Yes,Maybe,Maybe,No,1,Rarely,Sometimes,25,Male,One-person shop|DevOps/SysAdmin,Always
1368,More than 1000,0.0,Yes,I am not sure,I don't know,Yes,Yes,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,"While it would be illegal to discriminate, but theres something in the back of my mind that if I say anything about it they will look for another excuse to not hire you.",No,Same reason as for physical health issue above.,Maybe,"Yes, I think they would",Somewhat not open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,39,Male,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes
1369,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,"This is all a point of basic surviving. If I had problems to bring food to my table or pay for rent in case I don't get the job I would keep my mouth shut and work as hard as I can. If not, like the case is now, I would take the liberty of trying to get the most comfortable work position. It is easy to ask for your rights and better work environment when basic life needs are met and are safe regardless of your work. In case they are not, then you don't have the liberty of emotions, problems, sickness and what not, you have to survive and you do what you have to do it. ",Yes,Same as the above for the physical,"Yes, I think it would","No, I don't think they would",Neutral,No,No,Maybe,No,No,1,Sometimes,Often,31,Male,One-person shop|Front-end Developer|Back-end Developer|DevOps/SysAdmin|Supervisor/Team Lead|Executive Leadership,Always
1370,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",No,Fear of discrimination,No,Stigma,"No, it has not","No, I don't think they would",Very open,No,Yes,Yes,Yes,Yes,1,Never,Often,25,Male,Front-end Developer,Sometimes
1371,500-1000,0.0,Yes,I am not sure,Yes,Yes,I don't know,Somewhat difficult,Maybe,No,No,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,"Unless it affected my ability to do my job, I would not bring it up. If it did, I would only bring it up as late as possible.",No,"I would be afraid that the entire interview would become a discussion of the issue, and the decision process would be based off whether or not the issue is serious enough to take a chance on.",Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,39,Male,Back-end Developer,Sometimes
1372,More than 1000,1.0,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,No,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,I wouldn't want it to hinder my chances of getting a job if I didn't think a physical health issue was related to the job.,No,I wouldn't want them to think less of me.,"Yes, I think it would","Yes, I think they would",Neutral,No,Yes,Yes,Yes,Yes,1,Rarely,Often,31,Female,Dev Evangelist/Advocate,Always
1373,100-500,1.0,Yes,No,No,I don't know,I don't know,I don't know,Yes,Maybe,Maybe,No,I don't know,No,1,Some did,N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,No,i currently do not have any physical issues. ,No,the stigma of mental illness and how i fear it would impact the job.,Maybe,Maybe,Very open,Maybe/Not sure,Yes,Yes,Maybe,No,0,Not applicable to me,Not applicable to me,35,Male,DevOps/SysAdmin,Sometimes
1374,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",None did,"Yes, all of them",Maybe,If it was relevant and not a stigmatized condition. ,No,Because of stigma.,"Yes, I think it would","Yes, I think they would",Very open,"Yes, I experienced",No,Yes,Yes,Yes,1,Sometimes,Often,31,Female,Support|Back-end Developer|Front-end Developer|One-person shop,Always
1375,More than 1000,1.0,No,I am not sure,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,Yes,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,It would depend on the tone of the interviewer and the attitude of the individual that was interviewing me,No,I feel that it would indefinitely compromise my chance of being hired,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",I don't know,Yes,Yes,Yes,1,Sometimes,Often,23,Male,Front-end Developer|Back-end Developer,Sometimes
1376,More than 1000,1.0,Yes,I am not sure,Yes,Yes,I don't know,Very difficult,Maybe,No,No,No,I don't know,Yes,1,I don't know,N/A (not currently aware),I don't know,Some did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,"If it's an obvious disability, then there's no need to bring it up. If it's not obvious, then it isn't their concern.",No,There's a definite stigma around mental health issues. It seems like one would be disqualified immediately.,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,30,Male,Executive Leadership,Never
1377,6-25,1.0,Not eligible for coverage / N/A,No,No,No,Yes,Neither easy nor difficult,Maybe,No,Yes,No,I don't know,No,1,I don't know,N/A (not currently aware),None did,Some did,"Yes, always",I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",Some did,None of them,Yes,Because my working environment might require improvement or at least adaptation like a lighter place/bigger screen/special desk. I think this conversation will be receive normal. Or at least as normal as speaking about money and advantages.,No,I feel that people are mostly scared about mental disease. I'll be afraid to be classified as crazy and not taken seriously. I would not take that risk.,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,28,Male,Other,Sometimes
1378,More than 1000,1.0,Yes,No,No,Yes,I don't know,I don't know,Yes,No,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",No,They would rather hire me someone who isn't sick,No,"Same reasons, I'll cost more, be less productive","Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I experienced",Yes,Yes,Yes,Yes,0,Often,Sometimes,23,Female,DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer,Never
1379,26-100,1.0,Yes,Yes,No,No,Yes,Neither easy nor difficult,No,No,Maybe,Yes,I don't know,No,1,"Yes, they all did",I was aware of some,None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,I don't want it held against me,No,I don't want it held against me,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,Maybe,Yes,Yes,1,Sometimes,Sometimes,26,Female,Front-end Developer,Never
1380,26-100,1.0,Yes,Yes,No,No,I don't know,Very difficult,Maybe,No,Maybe,Maybe,No,No,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Yes,There isn't stigma,No,Worried about not getting a job,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Maybe,Yes,1,Rarely,Often,24,Female,Supervisor/Team Lead,Never
1381,More than 1000,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,No,Maybe,No,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,"I would. My previous employees have been very aware of the of the legal protections afforded to candidates and employees with physical impairments, temporary or permanent, and act accordingly. These issues are regarded as ""real"", and tend to have more predictable timelines with regard to recovery (if applicable).",No,Employers are less aware of the legal protections afforded to candidates with mental health issues. I would also fear unstated bias influencing the interview result much more so than I would for a physical issue.,Maybe,Maybe,Very open,"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,32,Male,Supervisor/Team Lead,Never
1382,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,"No, I only became aware later",None did,None did,No,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Yes,Fear of discrimination,No,Stigma,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Rarely,Often,35,Male,One-person shop,Always
1383,100-500,1.0,Not eligible for coverage / N/A,No,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,If its is relevant.,Yes,If its relevant.,Maybe,Maybe,Somewhat open,No,No,Yes,Maybe,No,0,Sometimes,Often,30,Male,Back-end Developer,Sometimes
1384,26-100,1.0,Yes,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,Maybe,No,Maybe,I don't know,No,1,Some did,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Depends on the physical issue and/or the position being applied for.,Maybe,Same as before,"No, I don't think it would","No, I don't think they would",Very open,No,No,Yes,Yes,Yes,1,Rarely,Often,32,Male,Front-end Developer|Designer,Sometimes
